"App","Category","Rating","Number.of.ratings"
"Pumpkins vs. Monsters","Arcade & Action",4.7,62944
"Paranormal Agency","Brain & Puzzle",4.2,5869
"Chat, Games, Fun","Social",4.1,22987
"MX Video Player CODEC (ARMv7)","Media & Video",4.4,3139
"GRave Defense Silver FREE","Arcade & Action",4.4,2328
"LDS Reveal Reader","Books & Reference",4.6,3097
"iMediaShare","Media & Video",4.3,7874
"OpenSignalMaps","Tools",4.2,26491
"How to Tie a Tie","Books & Reference",4.6,36143
"Air Horn!","Entertainment",4.1,44760
"Google Goggles","Productivity",4.1,98434
"Craigslist","Business",4.4,37348
"Vem ringde","Tools",4.4,2731
"Air Penguin","Casual",4.4,5419
"SCVNGR","Casual",4.1,5198
"Pick a Stick","Casual",4.4,23535
"SPB Shell 3D","Personalization",4.1,20535
"CardioTrainer","Health & Fitness",4.5,48236
"Hearts Free","Cards & Casino",4.5,2195
"Empire Story???","Arcade & Action",4.3,4542
"Angry Birds","Arcade & Action",4.6,938195
"iKamasutra Sex Positions","Books & Reference",4.6,2084
"Make a Ringtone MP3 PRO","Entertainment",4.5,34849
"ColorNote Notepad Notes","Productivity",4.5,104438
"CNN App for Android Phones","News & Magazines",4.1,6677
"SMS Backup +","Tools",4.6,13493
"Dropwords","Brain & Puzzle",4.3,13324
"Radardroid Pro","Travel & Local",4.3,1025
"Locus Pro","Travel & Local",4.8,2529
"Skyfire Web Browser 4.0","Communication",4.3,129859
"Dolphin Speed Dial","Communication",4.4,1147
"Stair Dismount","Arcade & Action",4.3,8372
"Shazam","Music & Audio",4.5,239935
"Kid Mode: Kids Games + Videos","Education",4.4,16704
"Jewel Magic","Brain & Puzzle",4.4,1922
"Sudoku","Brain & Puzzle",4.6,7223
"Bubble Pop","Brain & Puzzle",4.2,38165
"A Cute Cat Live-Wallpaper","Personalization",4.2,1179
"Air Penguin","Casual",4.4,4694
"Shamrock Live Wallpaper","Personalization",4.2,1668
"Fake-Call Me","Productivity",4.4,8745
"JEFIT","Health & Fitness",4.6,16488
"Aloqa","Travel & Local",4.3,6658
"Audible for Android","Books & Reference",4.3,14474
"Battle Fury","Casual",4.4,4729
"Baby ESP Trial","Health & Fitness",4.5,1163
"iMobsters???","Arcade & Action",4.6,51371
"Strip Blackjack with Sandee","Cards & Casino",4.5,37805
"Brilliant Quotes & Quotations","Books & Reference",4.5,17278
"?????????","Books & Reference",4.3,74071
"Roulette Royale","Cards & Casino",4.1,7460
"File Expert","Tools",4.6,19560
"4shared mobile","Entertainment",4.4,9460
"DroidWall","Tools",4.6,4637
"Talking TransFormers","Entertainment",4.6,3651
"SBB Mobile","Transportation",4.1,3878
"World Clock & Widget","Productivity",4.3,11231
"Pretty Pet Tycoon","Casual",4.2,1120
"GO SMS Widget","Communication",4.4,3687
"Jager Kings (drinking game)","Cards & Casino",4.2,1972
"Cookie Dozer","Cards & Casino",4.3,2417
"Amazing Tattoo Ideas NEW","Media & Video",4.4,2272
"Jewels Link!","Casual",4.6,13032
"Penguin Baseball","Sports Games",4.2,2001
"QR Droid","Productivity",4.5,37387
"GO Keyboard Emoji plugin","Entertainment",4.2,2251
"X Construction Lite","Brain & Puzzle",4.5,65025
"Calorie Counter","Health & Fitness",4.5,27647
"AlarmDroid","Tools",4.4,17971
"TeleNav GPS Navigator","Travel & Local",4.1,2723
"Star Legends (3D MMO)","Arcade & Action",4.4,7491
"BackCountry Navigator PRO GPS","Travel & Local",4.6,1348
"PhotoFunia","Photography",4.5,47023
"SugarSync","Productivity",4.1,3570
"Ninjas Live???","Arcade & Action",4.5,19014
"Street View on Google Maps","Travel & Local",4.1,168265
"Memory Booster","Productivity",4.3,12085
"FML Official","Entertainment",4.4,15650
"National Flags Quiz","Brain & Puzzle",4.4,9103
"Job Search","Business",4.3,10284
"Tuner","Tools",4.7,41914
"SystemPanel App / Task Manager","Tools",4.7,4768
"aniPet Aquarium LiveWallpaper","Personalization",4.1,14245
"LEO dictionary","Books & Reference",4.6,5727
"tinyCam Monitor FREE","Media & Video",4.3,1957
"BoggleDroid Lite","Brain & Puzzle",4.2,3781
"AppBrain App Market","Tools",4.5,51062
"Learn French with busuu.com!","Education",4.4,2053
"Nightfall Live Wallpaper Free","Personalization",4.2,15782
"Agent Shooter (DEMO GAME)","Arcade & Action",4.6,6702
"Speedx 3D full&free","Arcade & Action",4.6,51780
"Miracle City Online","Arcade & Action",4.6,6585
"Paint","Casual",4.2,3494
"Farm Story???","Arcade & Action",4.4,62580
"Triple Stack HD (Pyramids)","Cards & Casino",4.5,25447
"Shark or Die FREE","Arcade & Action",4.1,2402
"iQuran","Books & Reference",4.8,20213
"Wunderlist Task Manager","Productivity",4.1,2540
"UltraChron Stopwatch Lite","Tools",4.5,7992
"Guns'n'Glory FREE","Arcade & Action",4.6,29292
"Sudoku Free","Brain & Puzzle",4.2,28088
"jjComics Viewer","Comics",4.6,4474
"Paper Toss","Casual",4.3,123616
"My Days","Lifestyle",4.6,58139
"Ideal World Cup","Entertainment",4.3,6874
"JEFIT","Health & Fitness",4.6,16488
"Bakery Story???","Arcade & Action",4.5,96482
